config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,500,11.458,9.55,6.997,5.832,18.456,15.382,4775,2916,416729
typo25_real10,491,12.538,13.515,12.963,13.974,25.5,27.489,6636,6861,529287
typo25_real40,489,12.941,13.673,13.671,14.444,26.612,28.117,6686,7063,516639
typo25_real70,489,12.581,13.262,13.188,13.902,25.769,27.164,6485,6798,515473
typo50_real10,490,13.149,15.049,16.562,18.955,29.711,34.004,7374,9288,560811
typo50_real40,481,12.976,15.087,15.789,18.358,28.766,33.445,7257,8830,559244
typo50_real70,492,13.013,16.927,19.344,25.163,32.357,42.089,8328,12380,639987
typo75_real10,481,13.168,16.403,19.339,24.091,32.507,40.495,7890,11588,599194
typo75_real40,474,13.214,18.479,20.963,29.316,34.177,47.795,8759,13896,662868
typo75_real70,466,12.639,17.83,21.605,30.479,34.244,48.309,8309,14203,657401
