config,n_answered,sum_tok,mean_tok,median_tok,p90_tok,max_tok
clean,500,761814,1523.6,1148.0,2750,15738
typo25_real10,491,919927,1873.6,1310,3748,15664
typo25_real40,489,907560,1856.0,1293,3593,11817
typo25_real70,489,906243,1853.3,1291,3805,16241
typo50_real10,490,967916,1975.3,1345.0,4071,12630
typo50_real40,481,976474,2030.1,1313,4371,12962
typo50_real70,492,1084573,2204.4,1324.0,5072,14117
typo75_real10,481,1027545,2136.3,1409,4791,12836
typo75_real40,474,1136153,2396.9,1513.5,5548,17532
typo75_real70,466,1115688,2394.2,1572.0,5403,15496
